"a lot"," "
"A lot"," "
"lots of"," "
"Lots of"," "
"lot of"," "
"Lot of"," "
"keep an eye"," "
"Keep an eye"," "
"No problem"," "
"no problem"," "
"Good night"," "
"good night"," "
", man."," "
", man,"," "
". Man."," "
"another shot"," "
"a shot"," "
